Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
27219,-25.26635502,14.32325381,-26.82367291,6.349247807,-18.66425061,-4.647403049,-17.97121202,16.63310306,-3.768350971,-8.303239351,4.783257367,-6.699252074,0.846767865,-6.576276436,-0.06233038,-5.961659873,-12.21848172,-4.791841983,0.894853522,1.658288844,1.78070097,-1.861318147,-1.188167293,0.156667051,1.768191982,-0.219916008,1.411854777,0.414656384,99.99,1
27252,-25.94243445,14.60199804,-27.36865029,6.378394608,-19.1040334,-4.684806204,-18.26139293,17.05256631,-3.74260501,-8.23372137,4.664836254,-6.52566786,0.923758589,-6.325974612,-0.070223703,-5.838360219,-12.06169571,-4.773348514,0.852969608,1.66730429,1.784315984,-1.917759213,-1.235787439,0.161104732,1.820378041,-0.219359059,1.388785762,0.40680965,99.99,1
28143,-27.14367842,15.36580438,-28.40742446,6.370895347,-20.08787757,-4.666313063,-18.70947882,17.90357438,-3.722278738,-8.120961738,4.419943456,-6.210941121,1.063837395,-5.843528381,-0.108836449,-5.606597326,-11.75625561,-4.714946761,0.783577594,1.703887646,1.796826389,-1.960973717,-0.902247452,0.144011442,2.024388039,-0.204214066,1.332153059,0.385890728,99.99,1
28625,-27.84818067,15.59819266,-28.92375595,6.418441747,-20.34622816,-4.828202466,-19.21089642,18.32940553,-3.668734939,-8.009159386,4.303095818,-6.008660007,1.138968829,-5.58044712,-0.110737116,-5.491073262,-11.5885436,-4.715420171,0.734573493,1.697856263,1.802149134,-2.062934276,-1.269843436,0.165409188,1.999499113,-0.211058522,1.324809493,0.388090178,99.99,1
28658,-28.52426759,15.87692299,-29.46873209,6.447591402,-20.78600004,-4.865613418,-19.50108408,18.74887195,-3.642989819,-7.939642419,4.184673689,-5.835075215,1.215959645,-5.330143782,-0.118631138,-5.367775276,-11.43175691,-4.696924444,0.692688412,1.706889062,1.805769784,-2.119376168,-1.317449622,0.16984563,2.051687335,-0.210502,1.301733965,0.380246181,99.99,1
28692,-29.20032859,16.15570143,-30.01371249,6.47673118,-21.22580965,-4.902997397,-19.79124841,19.16832739,-3.617241786,-7.870121943,4.066255073,-5.661492423,1.292950145,-5.079845681,-0.12652274,-5.24447152,-11.27497259,-4.678436529,0.650807371,1.715861824,1.809370933,-2.175815203,-1.365104108,0.17428636,2.103868072,-0.209943999,1.278680971,0.372392714,99.99,1
28726,-29.87636551,16.43452455,-30.55869682,6.505861787,-21.6656543,-4.940356329,-20.08139107,19.58777262,-3.591491047,-7.800598208,3.947839717,-5.487911486,1.369940349,-4.829552443,-0.134412095,-5.121162405,-11.11819045,-4.65995587,0.608930081,1.724778838,1.812953975,-2.232251588,-1.412803443,0.17873107,2.156041858,-0.209384624,1.255648901,0.364530453,99.99,1
28755,-30.55238004,16.71338924,-31.10368482,6.534983864,-22.10553152,-4.977691964,-20.37151359,20.00720837,-3.565737791,-7.731071441,3.829427395,-5.314332276,1.44693028,-4.579263728,-0.14229936,-4.997848304,-10.96141036,-4.641481959,0.56705628,1.733643994,1.816520171,-2.288685505,-1.460544499,0.183179483,2.208209178,-0.208823971,1.232636295,0.356660011,99.99,1
35906,-3.519029545,4.140867176,-3.628202369,5.505672037,-4.057462506,-0.905945283,-6.652031121,2.634524165,-4.67940204,-6.546241815,3.53820204,-8.042285142,1.697509384,-8.051048902,1.070457396,-7.395956925,-14.32962616,-4.868010236,2.463843039,0.898723234,1.582555933,0.778710245,-0.135707278,-0.0042778,0.032706159,0.362014053,0.900925138,0.554897499,9.13,1
41313,-13.89720587,6.344280456,-14.28166644,5.581008997,-12.88713316,-3.146176367,-15.45046722,9.060281474,-5.486120777,-14.67647025,5.148351721,-10.74959199,1.585488968,-9.798012077,0.733276999,-12.6752689,-20.74066372,-8.153668026,5.22834179,-1.025227924,3.058081838,0.94118029,-0.232710298,0.763508019,0.075456239,-0.453839572,-1.508968257,-0.686835739,9.99,1
41791,-7.222731306,6.15577293,-10.82645984,4.180779179,-6.123555101,-3.114136482,-6.895112283,5.161516377,-2.516476533,-6.403370552,3.186057948,-6.855570981,-0.837722615,-8.036614875,0.956969644,-4.557193454,-7.654704244,-2.588418644,0.718555009,0.818859417,0.912700322,-0.630358133,0.190886662,-0.061263432,0.379774657,-0.266845465,1.193694577,0.257468457,99.99,1
50706,-8.461844701,6.866198415,-11.83826922,4.194210967,-6.923097097,-3.221146649,-7.553496511,6.015618187,-2.46614344,-6.246243185,2.94398522,-6.512389337,-0.698175947,-7.543645932,0.926455284,-4.330294806,-7.339697964,-2.550900854,0.645904896,0.814710156,0.918244481,-0.715366337,0.210747336,-0.060211474,0.509534595,-0.257283693,1.170026516,0.229300915,99.99,1
50808,-9.169789824,7.092196801,-12.35403687,4.243068974,-7.176437755,-3.386618049,-8.058011947,6.442908664,-2.412986602,-6.134906887,2.826671228,-6.309842777,-0.623002386,-7.279869219,0.924233226,-4.215537135,-7.171672415,-2.550336685,0.596364321,0.816651662,0.926156961,-0.817706132,-0.150434416,-0.03938306,0.485639754,-0.264324609,1.15969046,0.232758088,99.99,1
51112,-9.848775832,7.365546486,-12.89853823,4.273323073,-7.611991011,-3.427045237,-8.350808153,6.863603922,-2.387567325,-6.065782363,2.707856405,-6.136034466,-0.545976096,-7.028980273,0.916068575,-4.092884494,-7.014621707,-2.530967259,0.554027499,0.832398066,0.931958309,-0.874467361,-0.192639469,-0.035426027,0.53866505,-0.263933517,1.134095094,0.225973164,99.99,1
51135,-10.52730443,7.639745109,-13.4431145,4.303402918,-8.048209867,-3.466996536,-8.643192792,7.2841053,-2.362096638,-5.99659592,2.58910354,-5.962261422,-0.468955403,-6.778183722,0.907946622,-3.970130032,-6.857612655,-2.511735682,0.511761952,0.847085223,0.937415596,-0.931178206,-0.235696693,-0.031393354,0.591558277,-0.263516323,1.108897298,0.219021143,99.99,1
51155,-11.20546139,7.914633492,-13.98775164,4.33334118,-8.484969523,-3.506561173,-8.935243032,7.704449151,-2.33658418,-5.927359169,2.470401016,-5.788517031,-0.391939257,-6.527462241,0.899859362,-3.847292842,-6.700637448,-2.492616107,0.469554314,0.860911742,0.942593331,-0.987848115,-0.279446305,-0.027299225,0.644344196,-0.263077923,1.084022528,0.211933357,99.99,1
65728,1.227614414,-0.668973794,-0.271784826,-0.589439742,-0.604795004,-0.350284967,-0.486364541,-0.010808629,-0.794944156,0.264544749,0.88126805,-0.324703761,-0.2632638,-1.112735439,-0.540849503,1.533411248,0.831442611,-0.473346677,1.190121264,0.27379921,-0.026054722,-0.295254768,-0.18045852,-0.436538663,0.494649059,-0.283738267,-0.001128279,0.035074501,98.01,1
75851,-4.793667431,3.418910653,-5.074444533,4.035986943,-3.527874599,-1.923241502,-5.065980838,1.99688476,-3.097379164,-6.447202274,3.775578439,-7.498783455,0.231306922,-8.658268432,1.343307657,-6.17333086,-10.70801825,-3.504894192,1.884044257,0.342122343,1.168617819,0.289530904,-0.371888204,0.144761277,0.084734825,-0.197431471,0.328671522,0.835394921,99.85,1
75978,-5.140723118,3.568751234,-5.896245457,4.16471993,-4.091192639,-1.989960291,-5.472436017,2.422820662,-2.909735258,-6.287803351,3.704312152,-7.267549534,0.329269938,-8.458974956,1.354487201,-5.976220982,-10.57601491,-3.525161247,1.737976005,0.3189952,1.131130282,0.11802151,-0.332704205,0.139940734,0.324757896,-0.18076913,0.177810383,0.661555356,99.9,1
88737,1.917826531,0.951966571,-2.059205513,3.833997712,1.668192191,0.769825697,0.232463057,0.107940567,-1.143645689,0.541699243,0.30197723,0.257697091,0.709147652,-2.420715975,-1.997740181,1.50669615,0.799832475,1.162764262,-1.150627357,-0.115922318,0.015255354,0.239994342,-0.111915985,-0.38057589,0.370994789,0.189116547,-0.005823281,-0.012105091,9.21,1
93920,-12.38104821,8.213022153,-16.96252965,7.116090598,-9.772826359,-3.666835648,-16.14736337,2.078705953,-4.250656834,-16.74604411,7.425800963,-15.5648376,-0.42633842,-14.02953767,-1.68188923,-11.13376098,-15.83358888,-5.748532938,2.271081507,0.5377949,0.167703335,1.503413334,-0.767755382,0.371951476,-1.415639479,-0.51702216,-0.434620523,0.292721057,97,1
97235,-17.53759168,12.35251867,-20.13461281,11.12277143,-14.57108014,-0.381622313,-23.92866103,-4.724921033,-8.603038097,-15.23183337,4.41705461,-12.89352021,-0.109628456,-3.547229894,-2.177823998,-10.40206833,-18.37201912,-8.314092312,2.435823486,1.925102596,-4.352213131,2.389040921,2.019127926,0.62719187,-1.085997212,-0.071803236,-3.838197904,-0.802564461,9.82,1
128519,-4.599447002,2.762539943,-4.656529871,5.201403067,-2.470387712,-0.35761793,-3.767188827,0.061466444,-1.836199863,-1.470645258,2.143930633,-5.839736057,0.153011631,-6.177364566,-0.785415654,-4.510522737,-10.34051286,-4.181177553,-0.376135683,-1.000657722,1.581480357,0.26133272,0.621415022,0.994109927,-0.687853106,-0.337531253,-1.612791046,1.231424735,93.35,1
134769,-0.967767137,2.098018632,-5.222929466,6.514573243,-4.187674068,2.11417835,0.948701404,-2.448426895,-3.203666083,-3.074034313,1.051486303,-3.474862967,0.5733713,-5.254253463,-0.326388327,-1.848598114,-2.421535619,-0.833344853,0.952141057,1.14720392,-0.843268389,0.796738518,1.314312347,-0.352886653,-1.77070558,0.098133359,0.956768781,0.162777346,925.31,1
146344,-0.099723899,2.79541433,-6.423855582,3.247513015,-1.632290269,-2.766664931,-2.312222883,0.961014122,-1.896000965,-4.919348299,3.053654418,-5.297811402,-1.466029728,-7.035880051,1.997132372,-3.836188525,-2.5151828,-0.864578712,2.328926974,0.340898316,0.647714388,0.126575864,0.20395348,0.008494998,-0.174501151,0.575294798,0.152875891,-0.09817281,94.82,1
147501,-1.611877338,-0.408409923,-3.829761676,6.249461761,-3.360921609,1.147963582,1.858424853,0.474858318,-3.838398816,-1.445374957,2.113900014,-3.259702465,-0.315347339,-1.808102973,-0.741877295,-2.986920088,-4.815863011,-1.271654588,1.701685024,2.42567743,1.245582186,0.616382702,2.25143888,-0.066096392,0.538710327,0.541325493,-0.136243382,-0.009852256,996.27,1
150949,-2.423534502,1.659092554,-3.071420549,2.588032647,1.13579117,-1.89238797,-2.588418177,-2.226592411,-1.670172757,-3.508924662,1.439322066,-1.959927496,0.767484552,-4.978118014,1.05856598,-0.997477451,-0.817261404,0.3077976,0.028484531,0.353898203,-0.934126825,0.922037918,-0.180255031,-0.281719118,0.299285024,-0.26380133,0.150155943,0.292112166,9.29,1
155554,-1.040067223,3.106702664,-5.409027199,3.109903424,-0.88723704,-2.497521836,-2.073347463,0.639818099,-3.013330572,-5.954838297,3.586394509,-5.517147627,0.683652475,-8.560422876,1.856094916,-4.878248088,-4.335998012,-1.377191085,3.057381742,1.054390103,0.773960868,0.21486842,-0.184233022,-0.284091371,0.493466609,0.732328821,0.675066703,0.337076231,94.82,1
